Sample	outcome
GSM3895951	0
GSM3896032	1
GSM3896033	1
GSM3896034	1
GSM3896035	1
GSM3896036	1
GSM3896037	1
GSM3896038	1
GSM3896039	1
GSM3896040	1
GSM3896041	1
GSM3896042	1
GSM3896043	1
GSM3896044	1
GSM3896045	1
GSM3896046	1
GSM3896047	1
GSM3896048	1
GSM3896049	1
GSM3896050	1
GSM3896051	1
GSM3896052	1
GSM3896053	1
GSM3896054	1
GSM3896055	1
GSM3896056	1
GSM3896057	1
GSM3896058	1
GSM3896059	1
GSM3896060	1
GSM3896061	1
GSM3896062	1
GSM3896063	1
GSM3896064	1
GSM3896065	1
GSM3896066	1
GSM3896067	1
GSM3896068	1
GSM3896069	1
GSM3896070	1
GSM3896071	1
GSM3896072	1
GSM3896073	1
GSM3896074	1
GSM3896075	1
GSM3896076	1
GSM3896077	1
GSM3896078	1
GSM3896079	1
GSM3896080	1
GSM3896081	1
GSM3896082	1
GSM3896083	1
GSM3896084	1
GSM3896085	1
GSM3896086	1
GSM3896087	1
GSM3896088	1
GSM3896089	1
GSM3896090	1
GSM3896091	1
GSM3896092	1
GSM3896093	1
GSM3896094	1
GSM3896095	1
GSM3896096	1
GSM3896097	1
GSM3896098	1
GSM3896099	1
GSM3896100	1
GSM3896101	1
GSM3896102	1
GSM3896103	1
GSM3896104	1
GSM3896105	1
GSM3896106	1
GSM3896107	1
GSM3896108	1
GSM3896109	1
GSM3896110	1
GSM3896111	1
GSM3896116	1
GSM3896117	1
GSM3896118	1
GSM3896119	1
GSM3896120	1
GSM3896121	1
GSM3896122	1
GSM3896123	1
GSM3896124	1
GSM3896125	1
GSM3896127	1
GSM3896128	1
GSM3896129	1
GSM3896130	1
GSM3896131	1
GSM3896132	1
GSM3896133	1
GSM3895952	0
GSM3895953	0
GSM3895954	0
GSM3895955	0
GSM3895956	0
GSM3895957	0
GSM3895958	0
GSM3895959	0
GSM3895960	0
GSM3895961	0
GSM3895962	0
GSM3895963	0
GSM3895964	0
GSM3895965	0
GSM3895966	0
GSM3895967	0
GSM3895968	0
GSM3895969	0
GSM3895970	0
GSM3895971	0
GSM3895972	0
GSM3895973	0
GSM3895974	0
GSM3895975	0
GSM3895976	0
GSM3895977	0
GSM3895978	0
GSM3895979	0
GSM3895980	0
GSM3895981	0
GSM3895982	0
GSM3895983	0
GSM3895984	0
GSM3895985	0
GSM3895986	0
GSM3895987	0
GSM3895988	0
GSM3895989	0
GSM3895990	0
GSM3895991	0
GSM3895992	0
GSM3895993	0
GSM3895994	0
GSM3895995	0
GSM3895996	0
GSM3895997	0
GSM3895998	0
GSM3895999	0
GSM3896000	0
GSM3896001	0
GSM3896002	0
GSM3896003	0
GSM3896004	0
GSM3896005	0
GSM3896006	0
GSM3896007	0
GSM3896008	0
GSM3896009	0
GSM3896010	0
GSM3896011	0
GSM3896012	0
GSM3896013	0
GSM3896014	0
GSM3896015	0
GSM3896016	0
GSM3896017	0
GSM3896018	0
GSM3896019	0
GSM3896020	0
GSM3896021	0
GSM3896022	0
GSM3896023	0
GSM3896024	0
GSM3896025	0
GSM3896026	0
GSM3896027	0
GSM3896028	0
GSM3896029	0
GSM3896030	0
GSM3896031	0
GSM3896112	0
GSM3896113	0
GSM3896114	0
GSM3896115	0
GSM3896126	0
GSM3896134	0
GSM3896135	0
GSM3896136	0
GSM3896137	0
GSM3896138	0
GSM3896139	0
GSM3896140	0
GSM3896141	0
GSM3896142	0
GSM3896143	0
GSM3896144	0
GSM3896145	0
